0,1,2
1,2,73.0
1,7,76.0
3,2,73.0
5,7,78.0
4,5,71.0
3,8,77.0
2,3,73.0
3,7,76.0
4,3,45.0
5,3,60.0
3,6,58.0
4,4,38.0
7,4,68.0
7,5,62.0
2,7,68.0
7,7,69.0
3,4,33.0
6,1,30.0
6,8,75.0
7,7,70.5
6,6,74.0
2,8,75.55
4,7,78.7
1,2,71.0
1,5,71.0
6,7,82.0
3,3,56.6167
7,2,70.0
2,4,68.3167
4,1,63.0
5,6,59.0
8,4,54.0
4,8,69.0
1,3,67.0
3,6,61.2333
1,1,24.4667
2,2,72.0
2,8,75.55
6,8,73.0
4,6,81.0
3,8,78.2
6,6,74.0
6,7,78.0
7,8,71.0
7,3,67.0
5,3,56.6833
8,4,55.0
7,5,64.0
7,7,65.5
3,5,63.0833
5,1,56.1833
3,2,70.0
1,3,69.0
3,4,29.5167
5,5,85.9333
8,7,71.8833
4,7,77.7
7,6,76.0167
8,2,76.0
7,2,72.0
8,5,71.0
3,1,73.0
4,4,36.45
2,5,45.3167
1,3,65.0
1,5,67.0
8,8,56.0667
2,7,65.0
6,4,69.45
3,4,30.5167
5,1,61.1833
1,1,23.4667
7,2,72.0
7,8,73.0
2,8,74.55
1,5,71.0
6,5,81.0
3,7,74.0
5,4,83.0
1,7,76.5333
1,3,63.0
3,6,59.2333
2,5,47.3167
8,3,68.9833
4,1,65.0
2,1,66.0
2,6,68.0
3,3,61.6167
4,3,47.9667
1,1,21.4667
4,8,73.0
2,3,74.0
5,7,77.15
8,6,70.9
2,2,72.0
6,7,81.0
7,8,73.0
6,6,74.0
5,6,63.0
3,5,69.0833
7,7,69.5
6,3,65.0
2,7,66.0
8,1,62.0
4,3,41.9667
1,3,69.0
4,1,62.0
1,1,25.4667
5,8,78.2833
3,8,75.2
8,2,76.0
1,2,74.0
6,7,82.0
5,5,84.9333
2,3,76.0
6,5,78.0
2,5,45.3167
4,2,57.0
2,4,65.3167
5,6,60.0
4,3,46.9667
7,1,65.0
6,3,60.0
8,4,54.0
5,3,58.6833
3,4,29.5167
